Datum,1 mån,3 mån,6 mån
2023-07-12,3.61200,3.79900,3.78214
2023-07-13,3.63500,3.68500,3.72137
2023-07-14,3.64800,3.72500,3.75976
2023-07-17,3.63600,3.71800,3.75280
2023-07-18,3.61000,3.68600,3.71904
2023-07-19,3.60900,3.67800,3.71419
2023-07-20,3.60800,3.67400,3.70675
2023-07-21,3.60800,3.70400,3.73932
2023-07-24,3.60800,3.70500,3.73951
2023-07-25,3.60700,3.70100,3.73462
2023-07-26,3.60700,3.71500,3.75015
2023-07-27,3.60600,3.70300,3.74058
2023-07-28,3.60500,3.70300,3.74083
2023-07-31,3.60500,3.69400,3.73313
2023-08-01,3.66000,3.70400,3.73867
2023-08-02,3.66400,3.76400,3.80066
2023-08-03,3.64300,3.76300,3.80006
2023-08-04,3.64800,3.76500,3.80078
2023-08-07,3.65400,3.75600,3.79039
2023-08-08,3.66200,3.76300,3.80228
2023-08-09,3.67400,3.72100,3.76352
2023-08-10,3.60100,3.72500,3.75638
2023-08-11,3.69400,3.73600,3.75395
2023-08-14,3.68500,3.74900,3.75734
2023-08-15,3.67600,3.77900,3.74897
2023-08-16,3.70000,3.77500,3.76431
2023-08-17,3.69500,3.78300,3.75998
2023-08-18,3.69800,3.76100,3.72058
2023-08-21,3.68800,3.75300,3.71154
2023-08-22,3.69000,3.76300,3.70861
2023-08-23,3.67900,3.86500,3.70879
2023-08-24,3.73400,3.90500,3.72231
2023-08-25,3.72300,3.89800,3.70960
2023-08-28,3.76300,3.92000,3.75259
2023-08-29,3.71600,3.87300,3.71007
2023-08-30,3.70200,3.86000,3.69024
2023-08-31,3.69600,3.87200,3.70770
2023-09-01,3.70200,3.87500,3.68368
2023-09-04,3.70800,3.87200,3.70825
2023-09-05,3.71600,3.87500,3.70854
2023-09-06,3.72300,3.70500,3.70528
2023-09-07,3.72100,3.71000,3.70984
2023-09-08,3.73400,3.71800,3.71762
2023-09-11,3.72700,3.70700,3.70683
2023-09-12,3.71900,3.70300,3.70339
2023-09-13,3.71100,3.70400,3.70372
2023-09-14,3.72000,3.70900,3.70874
2023-09-15,3.72300,3.70500,3.70519
2023-09-18,3.80400,3.84700,3.84671
2023-09-19,3.82400,3.87300,3.87314
2023-09-20,3.83200,3.90400,3.90429
2023-09-21,3.82900,3.92100,3.92104
2023-09-22,3.85500,3.93300,3.93265
2023-09-25,3.86600,3.91800,3.91836
2023-09-26,3.86000,3.92100,3.92140
2023-09-27,3.85400,3.92000,3.92006
2023-09-28,3.87700,3.92100,3.92053
2023-09-29,3.87000,3.91900,3.91915
2023-10-02,3.86300,3.91800,3.91775
2023-10-03,3.85500,3.90700,3.90669
2023-10-04,3.87500,3.92000,3.91975
2023-10-05,3.84400,3.92100,3.92050
2023-10-06,3.87300,3.91900,3.91907
2023-10-09,3.86000,3.91800,3.91762
2023-10-10,3.84200,3.93200,3.93202
2023-10-11,3.92000,3.87600,3.93073
2023-10-12,3.90100,3.87100,3.92110
2023-10-13,3.89800,3.96400,3.91962
2023-10-16,3.90800,3.94000,3.91811
2023-10-17,3.90500,3.95900,3.94599
2023-10-18,3.94400,3.98300,3.90900
2023-10-19,3.93900,4.01900,3.92257
2023-10-20,3.93700,3.97100,3.92103
2023-10-23,3.93500,3.97500,3.91296
2023-10-24,3.93300,3.97000,3.91123
2023-10-25,3.94900,3.96900,3.92970
2023-10-26,3.94400,3.96700,3.91096
2023-10-27,3.94300,4.02700,3.91639
2023-10-30,3.94000,4.03700,3.92205
2023-10-31,3.93800,4.07500,3.95070
2023-11-01,3.93500,4.01200,3.86451
2023-11-02,3.96400,4.06800,3.94622
2023-11-03,3.96400,4.08900,3.95347
2023-11-06,3.96300,4.08000,3.95243
2023-11-07,3.96300,4.08000,3.95136
2023-11-08,3.95000,4.14100,3.95026
2023-11-09,3.94700,4.10000,3.94676
2023-11-10,3.94500,4.10000,3.94551
2023-11-13,3.93400,4.10100,3.93384
2023-11-14,3.97500,4.10100,3.97487
2023-11-15,3.98500,4.12100,3.98542
2023-11-16,3.98500,4.12000,3.98519
2023-11-17,3.98500,4.16400,3.98517
2023-11-20,3.98500,4.12100,3.98517
2023-11-21,3.98500,4.11800,3.98521
2023-11-22,3.98500,4.11900,3.98528
2023-11-23,3.98600,4.12200,3.98578
2023-11-24,3.98600,4.11800,3.98605
2023-11-27,3.98600,4.11900,3.98639
2023-11-28,3.98700,4.12000,3.98681
2023-11-29,3.98700,4.06300,3.98732
2023-11-30,3.99000,4.06400,3.98956
2023-12-01,3.99100,4.06500,3.99062
